name,email,phone,website,linkedin_url,address,city,state,zip_code,employee_count,score,source,has_crm,is_qualified
THE DUDE DOG FOOD,,,,,,Costa Mesa,CA,,,0.0,cdph_organic,,True
nan,,,,,,Los Angeles,CA,,,0.0,cdph_organic,,True
PATRIA COFFEE ROASTERS,,,,,,Compton,CA,,,0.0,cdph_organic,,True
ZOO MED LABS,,,,,,San Luis Obispo,CA,,,0.0,cdph_organic,,True
"DAPHNE'S CREAMERY, TWO CHICKS JERKY, YIORYO, ARVANITIS",,,,,,Petaluma,CA,,,0.0,cdph_organic,,True
ZICO RISING INC,,,,,,Seal Beach,CA,,,0.0,cdph_organic,,True
ZEVIA PBC,,,,,,Los Angeles,CA,,,0.0,cdph_organic,,True
ZETA SOURCING,,,,,,Lake Forest,CA,,,0.0,cdph_organic,,True
ZEN MUSUBI,,,,,,Santa Cruz,CA,,,0.0,cdph_organic,,True
ZELANG USA INC,,,,,,City Of Industry,CA,,,0.0,cdph_organic,,True
ZD WINES,,,,,,Napa,CA,,,0.0,cdph_organic,,True
"VITAMEC USA, INC.",,,,,,Santa Ana,CA,,,0.0,cdph_organic,,True
"MOON SHINE TRADING COMPANY, ISLAND OF THE MOON APIARIES, THE HIVE",,,,,,Woodland,CA,,,0.0,cdph_organic,,True
M CAFE,,,,,,Los Angeles,CA,,,0.0,cdph_organic,,True
"YOUNGSTOWN GRAPE DISTRIBUTORS, INC.",,,,,,Reedley,CA,,,0.0,cdph_organic,,True
YOUNGSTOWN GRAPE DISTRIBUTORS INC.,,,,,,Reedley,CA,,,0.0,cdph_organic,,True
YOUNG KOBRAS,,,,,,Petaluma,CA,,,0.0,cdph_organic,,True
YESHERB GROUP INC,,,,,,City Ofindustry,CA,,,0.0,cdph_organic,,True
YB CHEMIA LLC,,,,,,Baldwin Park,CA,,,0.0,cdph_organic,,True
YAMAMOTOYAMA U.S.A.,,,,,,Pomona,CA,,,0.0,cdph_organic,,True
DADANT & COMPANY,,,,,,Santa Ana,CA,,,0.0,cdph_organic,,True
WOVEN HEARTS HERB FARM,,,,,,Arcata,CA,,,0.0,cdph_organic,,True
MELISSA'S,,,,,,Vernon,CA,,,0.0,cdph_organic,,True
"NUTRITION MASTERS, NATURE'S CONCEPT, VITA-VISTA, NU-VISTA",,,,,,Huntington Beach,CA,,,0.0,cdph_organic,,True
COST PLUS WORLD MARKET,,,,,,Alameda,CA,,,0.0,cdph_organic,,True
"WORLD FOOD PRODUCTS, INC",,,,,,Hughson,CA,,,0.0,cdph_organic,,True
"WORLD CLASS DISTRIBUTION, INC.",,,,,,Roseville,CA,,,0.0,cdph_organic,,True
"WORLD CLASS DISTRIBUTION, INC",,,,,,Palmdale,CA,,,0.0,cdph_organic,,True
OASIS DATE GARDENS,,,,,,Thermal,CA,,,0.0,cdph_organic,,True
WOLF COFFEE COMPANY,,,,,,Geyserville,CA,,,0.0,cdph_organic,,True
"WO CHONG COMPANY, INC",,,,,,San Francisco,CA,,,0.0,cdph_organic,,True
"WISOMAN FOODS, INC.",,,,,,Hayward,CA,,,0.0,cdph_organic,,True
WISMETTAC ASIAN FOODS,,,,,,Sacramento,CA,,,0.0,cdph_organic,,True
WISE GOAT ORGANICS LLC,,,,,,Hollister,CA,,,0.0,cdph_organic,,True
THE DONUM ESTATE,,,,,,Sonoma,CA,,,0.0,cdph_organic,,True
"OUR DAILY RED, ORLEANS HILL, WINEPRESS VINTERS",,,,,,Sonoma,CA,,,0.0,cdph_organic,,True
WX BRANDS,,,,,,Acampo,CA,,,0.0,cdph_organic,,True
WINE WINE SITUATION,,,,,,Signal Hill,CA,,,0.0,cdph_organic,,True
WINE FOREST LTD,,,,,,Napa,CA,,,0.0,cdph_organic,,True
WINE BRIDGE IMPORTS,,,,,,Davis,CA,,,0.0,cdph_organic,,True
WINCO FOODS # 89,,,,,,Modesto,CA,,,0.0,cdph_organic,,True
WING NIEN FOODS,,,,,,Hayward,CA,,,0.0,cdph_organic,,True
WILSON DANIELS LLC,,,,,,Napa,CA,,,0.0,cdph_organic,,True
WILSON COFFEE ROASTING,,,,,,Costa Mesa,CA,,,0.0,cdph_organic,,True
WILLIMAS SONOMA,,,,,,San Francisco,CA,,,0.0,cdph_organic,,True
WILD WEST HONEY INC.,,,,,,Fullerton,CA,,,0.0,cdph_organic,,True
WILD WEST FERMENT,,,,,,Point Reyes Station,CA,,,0.0,cdph_organic,,True
"WILD PLANET FOODS, INC..",,,,,,Mckinleyville,CA,,,0.0,cdph_organic,,True
"WILBUR PACKING COMPANY, INC",,,,,,Live Oak,CA,,,0.0,cdph_organic,,True
"WHOLESOME ESSENCE, INC",,,,,,Pasadena,CA,,,0.0,cdph_organic,,True
WHOLE SPICE INC,,,,,,Petaluma,CA,,,0.0,cdph_organic,,True
WHOLE HERB COMPANY,,,,,,Sonoma,CA,,,0.0,cdph_organic,,True
WHOLE FOODS POWER INC,,,,,,Santa Fe Springs,CA,,,0.0,cdph_organic,,True
MODU FOOD TRADING,,,,,,Vernon,CA,,,0.0,cdph_organic,,True
WHISHA,,,,,,Greenbrae,CA,,,0.0,cdph_organic,,True
